file_name	count	rms	stddev	var	sum	extrema	median	sum2	mean	centroid	orientation	hu
../image/10022011/kps0003.jpg	250000	116.99293418	44.8209613124	2008.91857297	27016694.0	(5, 165)	131	3421836662.0	108.066776	(251.46831463190813, 257.16294207513062)	0.283431696037	(0.001845014488845137, 4.3496241943302065e-09, 4.7112145648515522e-13, 8.5613791669846275e-12, -1.0780208166576705e-23, -3.9332909258351186e-16, 1.3395063057526866e-23)
../image/10022011/cn0026.jpg	250000	136.222879268	42.0087545277	1764.73545697	32395927.0	(30, 179)	150	4639168209.0	129.583708	(256.44669787281885, 251.00142719303446)	-0.233924454447	(0.0014717105905321158, 2.025527188355987e-09, 1.4427524234948143e-12, 3.1439391746640455e-12, 6.0709950654868871e-24, 1.1334569365759645e-16, -2.8244846882723344e-24)
../image/10022011/cn0003.jpg	250000	138.021445826	44.7902075344	2006.16269097	32637935.0	(26, 186)	153	4762479877.0	130.55174	(251.72401542981308, 245.26562084043496)	-0.0285031481896	(0.0014791498573086632, 3.4636561585166458e-09, 4.5869292376519212e-13, 1.3147462577685163e-12, -9.1040834143567846e-25, -4.6233648981760104e-18, -4.6215687548565601e-25)
../image/10022011/kps0014.jpg	250000	129.201278693	44.0687604457	1942.05564722	30363336.0	(20, 188)	142	4173242604.0	121.453344	(247.95182006678897, 243.66274617368325)	0.0612676787907	(0.0015980457696484467, 2.4629414232651564e-09, 6.3820854282042553e-13, 2.326655796093613e-12, 9.4037059984458167e-25, -8.4509961140616718e-17, 2.6746789043075452e-24)
../image/10022011/kps0028.jpg	250000	134.982113585	42.1381828497	1775.62645387	32059071.0	(20, 177)	149	4555042747.0	128.236284	(249.22506672403497, 242.50111068840266)	-0.102456357684	(0.0014886128082537316, 3.4125760979517989e-09, 1.9356378084090289e-13, 2.7490035606725292e-12, 1.9861306059533891e-24, -1.5699524278336249e-16, -2.764646712818203e-25)
../image/10022011/cn0008.jpg	250000	136.719117961	47.7460662801	2279.68684522	32027752.0	(18, 184)	152	4673029304.0	128.111008	(256.12903238237965, 260.50491897839697)	-0.711340827781	(0.0015188696817431688, 4.4463402987370853e-09, 3.8792095933593001e-12, 1.0703544416207938e-11, -6.0572547126116454e-23, -6.706327998229735e-16, 3.2983165543810766e-23)
../image/10022011/kps0006.jpg	250000	110.512790156	45.4142825763	2062.45706192	25187571.0	(1, 161)	124	3053269197.0	100.750284	(254.6998798279545, 248.64498158543265)	0.272477634201	(0.0020190479534174213, 4.726312681951446e-09, 2.6059829433296788e-12, 4.3195056587863512e-12, 3.628925508189259e-24, 1.3727211156252423e-16, 1.403058137654677e-23)
../image/10022011/cn0023.jpg	250000	122.694254878	43.6687950683	1906.96366272	28665001.0	(3, 170)	137	3763470045.0	114.660004	(259.10127081246793, 248.83078002614218)	-0.47669934115	(0.0017093014623292592, 3.9292213450510307e-09, 3.5827049370287879e-12, 9.5846884873040389e-12, 5.4581917708972696e-23, 5.0351133238863851e-16, 1.3244610605117394e-23)
../image/10022011/cn0025.jpg	250000	122.302347255	46.36038535	2149.2853298	28293748.0	(2, 174)	137	3739466036.0	113.174992	(256.97004001389718, 246.44787233735732)	-0.0283354031425	(0.0017582438257863283, 4.7431796177318415e-09, 2.3237695851896168e-12, 8.6758980583640011e-12, -9.6160472453307475e-24, 1.8760212034818515e-16, 3.7749946848101085e-23)
../image/10022011/kps0013.jpg	250000	131.628351703	38.9169731481	1514.53079901	31435939.0	(16, 172)	143	4331505743.0	125.743756	(249.20247696396035, 243.58577722990523)	-0.0146672903178	(0.001509358819073558, 2.164924353555136e-09, 4.8724455325730816e-13, 1.8278266742520898e-12, 1.6619128115719412e-24, -8.4418441762470245e-17, 4.6205138580605901e-25)
../image/10022011/kps0018.jpg	250000	116.768421365	43.9048063246	1927.6320184	27049991.0	(18, 162)	133	3408716057.0	108.199964	(250.82397854296551, 251.25582944220514)	-0.251449985007	(0.0018400133828573645, 7.5186475108530773e-09, 8.2889293567928075e-13, 8.9677530914439247e-13, -4.586245674508763e-25, -6.5715215997057208e-17, -6.2245842966738779e-25)
../image/10022011/kps0020.jpg	250000	132.304117925	43.1743772454	1864.02685053	31265349.0	(8, 180)	145	4376094905.0	125.061396	(247.99576609819894, 240.74535158031244)	0.0404471801958	(0.0015405076979104104, 2.8889614060128172e-09, 4.8672674527405496e-13, 5.0822795318388047e-12, 5.1293704449544616e-24, -2.2238614424409046e-16, 6.1305524464804208e-24)
../image/10022011/kps0005.jpg	250000	123.889747566	48.1138436909	2314.94195472	28541338.0	(0, 171)	141	3837167388.0	114.165352	(250.4274373255362, 249.51091668751795)	-0.128145101295	(0.0017476473157542619, 8.4713995814777537e-09, 2.3697164074174529e-13, 2.4975874503651427e-13, 5.2787538213831004e-26, -1.4040465065205805e-17, 3.0090672184263814e-26)
../image/10022011/cn0007.jpg	250000	131.973617636	44.1115792981	1945.83142818	31095824.0	(22, 178)	147	4354258938.0	124.383296	(257.32906641869937, 255.60104885325421)	-0.019789457601	(0.0015543730103640243, 1.1682792396826366e-09, 1.3395124055029299e-12, 8.9485530489716614e-12, -1.6983094414198828e-23, 1.6455167584197086e-17, -2.5911937998232432e-23)
../image/10022011/kps0001.jpg	250000	122.962584456	55.7855203665	3112.02428256	27394996.0	(0, 175)	138	3779949294.0	109.579984	(261.17261879360558, 246.34911607808814)	-0.261768300748	(0.0018680600535744495, 1.1121286704847763e-08, 6.6553111017921769e-12, 2.9183796722221982e-11, 3.812696708101017e-22, 3.0772800020172453e-15, 1.4161785453051338e-22)
../image/10022011/kps0010.jpg	250000	128.346833385	39.5676818887	1565.60145004	30523872.0	(19, 176)	141	4118227410.0	122.095488	(250.42643991439155, 240.89120902609224)	-0.105290368524	(0.0015596342681596968, 3.3217915087289483e-09, 4.1518496681473502e-13, 5.9839464484424215e-12, 7.2905550548162373e-24, -3.2773447680987967e-16, -5.9841326217038076e-24)
../image/10022011/cn0027.jpg	250000	137.012798337	43.1495988443	1861.88788042	32510209.0	(21, 184)	151	4693126727.0	130.040836	(255.62683406813753, 251.40020732648046)	-0.0221397067611	(0.0014771955363707737, 1.7480235824264784e-09, 5.3056263913741e-13, 2.7252253589309873e-12, 3.1856846226645341e-24, 1.1310575158786627e-16, -7.680632118903019e-25)
../image/10022011/kps0027.jpg	250000	136.331928483	40.5545850353	1644.67436739	32540091.0	(27, 178)	150	4646598681.0	130.160364	(253.89848815761857, 247.02554447680552)	-0.117760350259	(0.0014618769988070316, 2.4469592083204114e-09, 7.7290716866217503e-13, 2.3487264331547126e-12, 2.0781658065751288e-24, 1.1532137178041579e-16, 2.3865498396786228e-24)
../image/10022011/kps0023.jpg	250000	131.738204436	41.8987476443	1755.50505416	31224439.0	(7, 175)	146	4338738627.0	124.897756	(251.73125393218197, 245.23500762782731)	-0.13986401967	(0.0015377726896856679, 3.3904433547361603e-09, 2.6369543126395051e-13, 1.7506172042979594e-12, -8.2608090666971083e-25, -3.1156120331692351e-17, -8.5576215559659622e-25)
../image/10022011/cn0015.jpg	250000	126.200910266	48.6025927007	2362.21201723	29116638.0	(5, 181)	133	3981667438.0	116.466552	(253.13599026443998, 260.34254885357228)	-0.393176081986	(0.0017226748480189868, 4.6952335267398404e-10, 2.8859032806310788e-12, 1.0554064569539785e-11, -1.8958625265699992e-23, -2.2623763325079495e-16, 5.5074819957790219e-23)
../image/10022011/cn0014.jpg	250000	117.36010259	48.2591132552	2328.94201218	26744686.0	(5, 173)	125	3443348420.0	106.978744	(264.51710386758981, 257.10328977355954)	-0.0348323532911	(0.0018738865916360804, 6.6059332515730957e-09, 1.0855811100951097e-11, 4.2806331447961781e-11, 2.0617061606803349e-22, 1.9003627196179841e-15, -8.9944256184019959e-22)
../image/10022011/cn0022.jpg	250000	120.823375669	50.2055150231	2520.59373874	27474641.0	(2, 169)	136	3649572027.0	109.898564	(260.43720613706563, 255.8387865582942)	-0.068209505735	(0.0018290450907278027, 6.0220541645433985e-09, 5.0493778237716901e-12, 2.0556527448430178e-11, 8.7042736228863462e-23, 9.1091612765481625e-16, -1.90487349426733e-22)
../image/10022011/kps0004.jpg	250000	128.519922471	42.8480991613	1835.95960174	30291718.0	(18, 171)	142	4129342618.0	121.166872	(252.41924999657519, 247.12315426003497)	0.00825262443467	(0.0015983381680469305, 2.290443486846413e-09, 6.5087035343491852e-13, 9.3472417184954397e-13, -6.5277501766313668e-25, 1.050208945595968e-17, 3.2470870271574292e-25)
../image/10022011/kps0002.jpg	250000	120.231482782	46.7926265662	2189.54990096	27688061.0	(0, 164)	137	3613902363.0	110.752244	(256.08813473653458, 255.79120860674891)	-0.172382908158	(0.0017969554005646841, 8.3616157055463426e-09, 2.7141905977847927e-12, 1.1061702798789889e-11, -2.1975158613787736e-23, -1.3083586083867826e-16, -5.6487294947362301e-23)
../image/10022011/cn0012.jpg	250000	117.38489373	45.9740950255	2113.61741342	27001847.0	(12, 165)	130	3444803319.0	108.007388	(264.86253932555189, 254.14771275876183)	-0.179899433081	(0.0018258942726031631, 5.5274384989795582e-09, 9.765779485537809e-12, 3.871084341440317e-11, 6.5321335752538081e-22, 2.111470419109116e-15, -3.7392338994348523e-22)
../image/10022011/kps0009.jpg	250000	117.065509797	42.9046908237	1840.81249468	27229948.0	(14, 199)	130	3426083396.0	108.919792	(249.12556180394219, 239.74993154959975)	-0.754551083286	(0.0018018851810908398, 5.1244630386894206e-09, 1.3777973348575763e-12, 1.5662843540152912e-11, 6.6177196351462334e-23, -3.94841694683199e-16, 3.0244668740037488e-23)
../image/10022011/kps0011.jpg	250000	126.590157769	41.4754669123	1720.21435559	29900725.0	(40, 195)	133	4006267011.0	119.6029	(249.86803622376434, 234.26387519290739)	-0.581464645055	(0.0016097479612709857, 1.2059008986007405e-09, 2.3169193187510469e-12, 2.122042989225687e-11, 1.4737751931639468e-22, -2.039879488721177e-16, -2.0485460518118728e-23)
../image/10022011/cn0018.jpg	250000	126.2547147	43.9335178621	1930.15399174	29591066.0	(30, 173)	139	3985063246.0	118.364264	(260.27688685220141, 255.11501077207603)	-0.127804068299	(0.0016406957285488978, 5.1469840505961213e-09, 4.4218411063550977e-12, 1.3673558610358758e-11, 6.6071037455074261e-23, 5.8947835609997637e-16, -8.3300813027864868e-23)
../image/10022011/cn0006.jpg	250000	129.415441783	42.8407157618	1835.32692698	30529729.0	(28, 178)	141	4187089143.0	122.118916	(260.79810117807, 253.25568706221159)	-0.0334782545744	(0.0015776010416154724, 3.083436599466294e-09, 3.1397266627713509e-12, 1.2268829561240828e-11, 6.2815162417211302e-23, 5.9843825651242694e-16, -4.3041408392875479e-23)
../image/10022011/kps0017.jpg	250000	124.886084877	41.2605903601	1702.43631686	29468307.0	(16, 167)	140	3899133549.0	117.873228	(255.39766151196622, 254.53796724773903)	-0.481101843971	(0.0016343639458283855, 4.0558471452627897e-09, 2.774808775641492e-12, 4.0710082775931206e-12, -4.6829738301695842e-24, -1.3952687591139528e-16, -1.2856284646400052e-23)
../image/10022011/kps0029.jpg	250000	143.166769846	47.5477148463	2260.7851871	33760127.0	(10, 192)	158	5124180997.0	135.040508	(254.96803482287049, 238.83386884735611)	-0.270116826672	(0.0014239981029079611, 2.7057888010520179e-09, 3.3055283391455349e-13, 9.934215787573216e-12, -1.7725239290291512e-23, 7.0170867279422417e-17, -3.1445189142476904e-24)
../image/10022011/cn0013.jpg	250000	121.671071615	50.0463206865	2504.63421426	27725457.0	(0, 181)	136	3700962417.0	110.901828	(265.62595732927167, 251.44414592030623)	-0.649786373033	(0.0018030460499218878, 8.0139791933325651e-09, 1.2274101248322953e-11, 3.2847535504969175e-11, 6.3441457570620912e-22, 1.365089179096306e-15, -1.8035236963846995e-22)
../image/10022011/cn0028.jpg	250000	130.18790503	41.318402488	1707.21038416	30864300.0	(23, 177)	144	4237222654.0	123.4572	(255.53598516720595, 259.32271434454896)	-0.16082917288	(0.0015492650551925614, 2.2314231720251441e-09, 1.0894553675216895e-12, 9.7435113154557174e-12, -3.1689257372959738e-23, -3.3647193462630714e-16, 1.883667014783014e-24)
../image/10022011/cn0024.jpg	250000	129.961427031	39.3904149487	1551.60478983	30962041.0	(13, 169)	143	4222493129.0	123.848164	(257.95771100364021, 252.57550185225224)	-0.16598895884	(0.001526354192072057, 1.8180135353274197e-09, 1.474337667658489e-12, 6.6830971467667635e-12, 1.2321126524769221e-23, 1.6912615083254795e-16, -1.697847093064102e-23)
../image/10022011/kps0021.jpg	250000	144.513445907	44.6145868099	1990.46135622	34363566.0	(6, 193)	159	5221034012.0	137.454264	(244.87604180007847, 241.58750074614022)	-0.0325611977467	(0.0013878814130069521, 2.8084716691992438e-09, 6.3034584861143251e-13, 4.3707217860692437e-12, -7.1789113610248699e-24, -1.8582193796345357e-17, 1.0458677997954519e-24)
../image/10022011/cn0030.jpg	250000	115.555180637	42.239484047	1784.17401256	26889619.0	(22, 167)	123	3338249943.0	107.558476	(261.53614589366964, 255.77951554621609)	0.0320351904213	(0.0018280992045901462, 5.404239855406289e-09, 4.8076425158432715e-12, 2.1874270003436167e-11, 1.3741209670290708e-22, 1.2441194697890498e-15, -1.7730486905278724e-22)
../image/10022011/kps0008.jpg	250000	119.836117193	40.6721952846	1654.22746927	28180742.0	(0, 186)	131	3590173746.0	112.722968	(251.99664466832317, 247.69229276170489)	0.190870357604	(0.0017256786401355772, 3.8432948430518678e-10, 3.6598343615506035e-13, 1.280214807918328e-12, -8.4066707325849382e-25, -6.2702653781932244e-18, 2.4736257991300696e-25)
../image/10022011/kps0019.jpg	250000	127.623674873	40.5723798168	1646.118004	30250707.0	(20, 195)	138	4071950597.0	121.002828	(250.31713601222799, 239.40418004156487)	-0.626865845463	(0.0015839842441952284, 8.5821336714953478e-10, 1.2059483475338993e-12, 9.1882797938427874e-12, 2.7541167877692267e-23, -2.3829360418385044e-17, -1.3302528064604824e-23)
../image/10022011/cn0016.jpg	250000	126.996349412	42.82031754	1833.57959422	29889895.0	(25, 173)	141	4032018191.0	119.55958	(256.01982130429008, 250.32424067669672)	-0.193635749184	(0.0016210972826932956, 4.4662286767359094e-09, 1.5885998197372377e-12, 3.9299119875352361e-12, 8.4472805173637956e-24, 1.6369147671291522e-16, -5.006249244197192e-24)
../image/10022011/cn0010.jpg	250000	131.665137238	41.9661360834	1761.15657777	31199511.0	(30, 183)	141	4333927091.0	124.798044	(256.37049892326377, 259.743190308892)	0.619798922378	(0.0015419493995352865, 1.2422078408654434e-10, 6.7878014165136589e-13, 1.241490370409038e-11, -2.7806094641535959e-23, -8.2461950961656024e-17, 2.2927531159543615e-23)
../image/10022011/cn0029.jpg	250000	122.305033502	45.5170180472	2071.79893191	28379925.0	(15, 175)	132	3739630305.0	113.5197	(262.21283867722229, 258.06051362889087)	-0.145194549289	(0.0017253002291531725, 8.7697307545717622e-09, 8.44781774603256e-12, 2.2359042480092923e-11, 5.4356512179167948e-23, 4.8933446356799095e-16, -3.0244685063280358e-22)
../image/10022011/kps0026.jpg	250000	137.538902744	43.6192618491	1902.64000426	32609728.0	(15, 182)	151	4729237442.0	130.438912	(253.62422617135203, 241.53021647148483)	0.0250946394155	(0.0014649496286477986, 2.176180991428461e-09, 6.7947602480320197e-13, 6.156733672782804e-12, -1.1041145422184019e-23, -1.1092483812643983e-16, -6.0551338620815296e-24)
../image/10022011/kps0007.jpg	250000	115.286903142	44.2800203814	1960.72020498	26611029.0	(0, 162)	130	3322767509.0	106.444116	(254.43823908676251, 250.81495728666897)	-0.01364236992	(0.0018726568103448488, 7.7209643419054301e-09, 1.6774629720943067e-12, 4.1158790921160288e-12, 8.2925723457296614e-24, 2.4166329667473047e-16, -6.9422015067677974e-24)
../image/10022011/kps0015.jpg	250000	127.31525797	43.2663680561	1871.97860477	29934508.0	(19, 194)	141	4052293728.0	119.738032	(254.10940351424478, 243.63238418379748)	0.169940294469	(0.0016260789724098746, 1.3702104863934527e-09, 1.1050060226487711e-12, 5.3492324316824238e-12, -1.2237163681728019e-23, -5.6273694006436273e-17, -4.4032933206825822e-24)
../image/10022011/cn0009.jpg	250000	142.153199514	43.4171357857	1885.04767983	33840143.0	(23, 190)	158	5051883033.0	135.360572	(257.23653936914246, 255.51710007306946)	-0.418108019868	(0.001402193530931599, 2.9527365036796584e-09, 2.2356374937511401e-12, 4.9166534978686961e-12, -5.8738056895166364e-24, -1.0485405170876311e-16, -1.5205584802410002e-23)
../image/10022011/cn0011.jpg	250000	122.65789209	51.9180025587	2695.47898968	27782053.0	(13, 179)	131	3761239623.0	111.128212	(265.06093435498241, 257.28869506527172)	-0.18602975228	(0.0018084517405467194, 1.1208570156346041e-08, 9.6705837532593953e-12, 4.0068927052433995e-11, 4.6474793868580666e-22, 2.1719804199542025e-15, -6.3728466275681389e-22)
../image/10022011/cn0031.jpg	250000	129.325322594	47.511524637	2257.34497333	30070432.0	(0, 180)	144	4181259766.0	120.281728	(253.00568613203737, 240.89499339691108)	-0.0716226183848	(0.0016331271483407083, 5.4466106431938618e-09, 9.645770937990614e-13, 8.9679854425710839e-12, -8.7321041641413014e-24, -4.1628532148270949e-16, -2.4888747575223516e-23)
../image/10022011/kps0025.jpg	250000	138.121467542	42.1185919751	1773.97578997	32885753.0	(16, 180)	151	4769384949.0	131.543012	(251.71863307539874, 245.01179166612687)	-0.185457542596	(0.0014510509043138575, 2.1485359680945119e-09, 2.5174249006851446e-13, 1.751163388114475e-12, -1.0746744114604347e-24, 1.1824077038215182e-17, -4.4379036512427927e-25)
../image/10022011/cn0017.jpg	250000	131.061130363	46.7721696129	2187.6358503	30607785.0	(9, 181)	144	4294254973.0	122.43114	(260.33578432106049, 256.21328941025229)	-0.0485526132517	(0.0015929448229776535, 2.4531368874434677e-09, 1.6674662094943564e-12, 1.4589751655852919e-11, 1.8081064905575145e-23, 3.6394358495015336e-16, -6.9652971617258308e-23)
../image/10022011/kps0012.jpg	250000	139.783175883	42.6171040749	1816.21755973	33282051.0	(21, 190)	147	4884834065.0	133.128204	(243.89068516333026, 236.2267877345335)	-0.649748269636	(0.0014225301313818481, 1.5026068958913919e-09, 1.800493338096328e-12, 1.1568858222457734e-11, -7.316513707694752e-24, -4.352389093774431e-16, 5.2290320547341482e-23)
../image/10022011/cn0019.jpg	250000	124.56589575	47.803529464	2285.17742921	28757048.0	(15, 178)	134	3879165596.0	115.028192	(265.64431720920425, 255.99693829215869)	-0.174831952382	(0.0017150834633828853, 3.8215115120978986e-09, 7.5370858140502396e-12, 3.4314599798934328e-11, 4.1196185335582768e-22, 1.3972107237733374e-15, -3.6718466504151606e-22)
../image/10022011/kps0016.jpg	250000	122.227745868	40.1128609684	1609.04161507	28864533.0	(6, 165)	136	3734905465.0	115.458132	(243.91372598135806, 248.32300690830067)	-0.531619887031	(0.0016769597713425486, 4.8441127457044037e-09, 1.071392786390216e-12, 6.8784921060607533e-12, -1.0614971049320819e-23, 1.352408229042268e-16, -1.5362406123102492e-23)
../image/10022011/cn0005.jpg	250000	120.948245064	51.1238065402	2613.64359516	27403050.0	(18, 175)	130	3657119496.0	109.6122	(261.51134136911782, 253.53722949158274)	0.0357679182069	(0.0018535403814740007, 5.1522196705524605e-09, 3.0709273938963763e-12, 2.622021268484453e-11, 1.9134473151410482e-22, 1.8045100100273267e-15, -1.3691205833005189e-22)
../image/10022011/cn0020.jpg	250000	119.582936224	51.4099391004	2642.9818383	26992009.0	(1, 174)	132	3575019659.0	107.968036	(263.13625190363496, 258.02928903389778)	-0.11148607356	(0.0018738350466028716, 8.8625643338924614e-09, 1.0904066491635772e-11, 3.8968387356686628e-11, 2.7883539584086946e-23, 1.2238366759480262e-15, -8.0278839547506899e-22)
../image/10022011/cn0021.jpg	250000	124.487297585	50.5375605271	2554.04502403	28441873.0	(0, 174)	141	3874271815.0	113.767492	(256.98451533200114, 254.32536851173657)	-0.355761872687	(0.0017709016650606739, 7.3776570072400123e-09, 3.1998984037293911e-12, 7.4237949665928911e-12, 7.3683682955454292e-25, -6.666555613679266e-17, -3.6175703014137752e-23)
../image/10022011/cn0002.jpg	250000	136.678732098	44.3767076846	1969.29218492	32318516.0	(17, 181)	151	4670268952.0	129.274064	(254.79017860429215, 246.66021758143364)	-0.109735876488	(0.0014911446795314897, 2.5948052850509262e-09, 1.0957617590574265e-12, 3.0300183111464456e-12, 1.4647578225303295e-24, 1.460030021932456e-16, 5.3232581127187189e-24)
../image/10022011/cn0001.jpg	250000	131.630591368	42.7474050741	1827.34064057	31124018.0	(23, 175)	145	4331653146.0	124.496072	(249.51453831786171, 245.56948787350842)	-0.0545431057008	(0.0015559797488092426, 2.9812587188490718e-09, 2.7402405213991624e-13, 5.9370827646289589e-13, 2.1755212042919887e-25, -3.2402134335866303e-17, -1.0008854613754637e-25)
../image/10022011/kps0024.jpg	250000	131.761852719	44.1271178689	1947.20253141	31038266.0	(21, 178)	146	4340296458.0	124.153064	(244.61838575745952, 242.22960298855247)	-0.0854113882376	(0.0015607185253054244, 4.400010113614533e-09, 8.5252856344849332e-13, 7.3335372391654852e-12, -1.8335459458660838e-23, -1.0720731282483275e-16, 2.257830955634673e-25)
../image/10022011/kps0022.jpg	250000	136.705375286	42.9583020356	1845.41571378	32445092.0	(10, 185)	148	4672089908.0	129.780368	(248.89278790927511, 240.54211678801192)	-0.486149447155	(0.0014818022043788066, 2.4496424950627324e-09, 6.8625486157666955e-13, 4.0812046448513931e-12, 6.3066003341869056e-24, -1.5244875091370997e-16, 2.6223413902568891e-24)
../image/10022011/kps0030.jpg	250000	135.685195994	44.558629162	1985.4714328	32040015.0	(14, 184)	149	4602618103.0	128.16006	(253.14553729965687, 243.52257730290509)	-0.0771612714775	(0.0015008154446866787, 2.5781653139143849e-09, 8.1011680745439947e-13, 1.7978076261509851e-12, -2.1623620599626337e-24, 1.132310455670677e-17, -1.776205897625316e-25)
../image/10022011/cn0004.jpg	250000	130.985061057	50.978557971	2598.8133728	30164417.0	(2, 179)	150	4289271555.0	120.657668	(251.73955103709622, 248.14306258930347)	-0.282582471385	(0.0016595087213344445, 7.4905545908137219e-09, 4.3594352605542846e-13, 1.0756095108146512e-12, -7.3417379152908813e-25, 2.9173976746196511e-17, 5.9007098193530082e-26)
